seq_id,cons_k1_mean,cons_k1_std,cons_k3_mean,cons_k3_std,cons_k5_mean,cons_k5_std,cons_k7_mean,cons_k7_std,cons_k9_mean,cons_k9_std,cons_k11_mean,cons_k11_std,cons_k13_mean,cons_k13_std,cons_k15_mean,cons_k15_std,cons_k19_mean,cons_k19_std,cons_k21_mean,cons_k21_std,cons_k25_mean,cons_k25_std
srp_Lact.sali._CP000233,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
srp_Meth.vann._CP000742,0.9470588266849518,0.02652499696500391,0.9366666704416275,0.014529662279100169,0.9333333373069763,0.0,0.9366666704416275,0.014529662279100169,0.9333333373069763,0.0,0.9333333373069763,0.0,0.9333333373069763,0.0,0.9333333373069763,0.0,0.9333333373069763,0.0,0.9333333373069763,0.0,0.9333333373069763,0.0
srp_Myco.capr._CP000123,0.7089178383350372,0.06069092601863495,0.764939695596695,0.05081170831215307,0.7810562223196029,0.03179513251335082,0.7743178516626358,0.02477854366078612,0.788488331437111,0.020587448317175162,0.7885589182376862,0.025157385585992988,0.7876840174198151,0.019871294356897655,0.7981583774089813,0.01716996667834352,0.7960640281438828,0.013510337334117628,0.8030368387699127,0.012253022115723327,0.8048412680625916,0.01387542075373394
srp_Myco.geni._U39706,0.8560324966907501,0.08413314451404796,0.9155508875846863,0.0435029861318977,0.9168536126613617,0.027220376435866084,0.9258273601531982,0.025985874515288263,0.9333382248878479,0.02323377795724125,0.9394496530294418,0.016065840090994096,0.9407223284244537,0.017538886093927696,0.9397471636533737,0.017266632739307602,0.9443261384963989,0.01466465423929057,0.9372560977935791,0.011527282485390528,0.945365846157074,0.00926828384399414
srp_Myco.spec._CP000580,0.3981149345636368,0.1145106312733117,0.48038087263703344,0.1076497301072989,0.4484196111559868,0.0904945819747256,0.43611387461423873,0.10194174010111656,0.4259381428360939,0.09482519082775673,0.4543303593993187,0.10889000831449946,0.42571019381284714,0.09161456465152527,0.476368659734726,0.07188387713070263,0.41126810759305954,0.06376618797497419,0.414912486076355,0.06638862599266587,0.4322061792016029,0.05033472139142552
srp_Ochr.anth._CP000758,0.5270106017589569,0.12552149224428982,0.5982754811644554,0.09150263001326885,0.5859451726078987,0.08009356527321512,0.5953660413622857,0.07305764443537151,0.600044259428978,0.06048956946325039,0.5892517596483231,0.04758319956749352,0.5910641118884087,0.06713080579577987,0.5831505626440048,0.039808535361361266,0.5744149625301361,0.037844491559090615,0.5871526777744294,0.05116224313446587,0.5706509858369827,0.02855838287960358
srp_Proc.mari._CP000111,0.607607789337635,0.09093707345497418,0.5809956520795823,0.059655340601172106,0.5738589137792587,0.03940842949062249,0.5821487426757812,0.0471948312234571,0.5835578173398972,0.028799838556649006,0.5782482177019119,0.0435031668380541,0.5799902737140655,0.03888991504423871,0.602260348200798,0.02857660165437088,0.5949591517448425,0.031154886077926085,0.5910752326250076,0.029334506349914993,0.6041580826044083,0.020289211015032633
srp_Rick.cono._AE008680,0.8113403290510177,0.07258994147463409,0.8458939075469971,0.06739946492476424,0.860497510433197,0.05337254201783611,0.8630857825279236,0.03546275924031372,0.8701676726341248,0.02331963831857734,0.8816749513149261,0.014999898527782012,0.8825211495161056,0.013455425160444609,0.8782901555299759,0.015477268442207835,0.8805031418800354,0.010270408753045447,0.8856680035591126,0.011845440038913878,0.8825614631175995,0.011584326117608896
srp_Rick.feli._CP000053,0.49196137189865113,0.1357030036939071,0.4785071052610874,0.10464390394668587,0.4721455402672291,0.11437616965975188,0.45924703031778336,0.09312429090424959,0.46304164826869965,0.05552614908182465,0.4729953080415726,0.06093255143936212,0.4823820173740387,0.04071008449381922,0.4897376760840416,0.04313135143559265,0.4824247270822525,0.02934535016973965,0.4982467472553253,0.01667578597434252,0.48062301576137545,0.03571359105124575
srp_Sali.trop._CP000667,0.7620519608259201,0.06417072172719587,0.803764209151268,0.03425444779526272,0.8087855368852616,0.047147404431224484,0.817815288901329,0.03344476280138445,0.8337183952331543,0.02197094994710595,0.8142967820167542,0.02204940137976246,0.8277259141206741,0.03056690064946058,0.8223435908555985,0.02185754646586315,0.8317722201347351,0.03260341887604868,0.8352205008268356,0.0153150710032262,0.8293876618146896,0.010399271945259279
